"Hold your anchor to glory as you take this role, the one that makes you the superhero, that makes you 
"You can't be jailed for your grammatical errors , you would not end your sentence properly.","{'emotion': {'emotion': 'Angry', 'probabilities': {'Happy': 0.0741784824270434, 'Sad': 0.17137162719130272, 'Sarcasm': 0.2521909982532931, 'Fear': 0.09359940145934763, 'Bored': 0.048165941620295735, 'Angry': 0.27398837917233726, 'Excited': 0.08650516987638023}}, 'code': 200}"
"Calling SUNIL CHHETRI for ipl auctions,
Because KXIP is literally buying everything..","{'emotion': {'emotion': 'Sarcasm', 'probabilities': {'Happy': 0.0947045841503801, 'Sad': 0.13702345793232665, 'Sarcasm': 0.26258041044269614, 'Fear': 0.14845092411635366, 'Bored': 0.07238255774841147, 'Angry': 0.16782301588579218, 'Excited': 0.11703504972403964}}, 'code': 200}"
"Newton is out of Oscars.
What should be our equal and opposite reaction?
#Newton_laws ðð","{'emotion': {'emotion': 'Sad', 'probabilities': {'Happy': 0.08192926443286001, 'Sad': 0.3165087503118398, 'Sarcasm': 0.15301611814632263, 'Fear': 0.12204685272162655, 'Bored': 0.015499270332259946, 'Angry': 0.22631416178977606, 'Excited': 0.08468558226531489}}, 'code': 200}"
Happy birthday..,"{'emotion': {'emotion': 'Excited', 'probabilities': {'Happy': 0.3041113590034164, 'Sad': 0.12239303721765939, 'Sarcasm': 0.11457120354902967, 'Fear': 0.07207544366493826, 'Bored': 0.037004601238628816, 'Angry': 0.03480679211037905, 'Excited': 0.3150375632159485}}, 'code': 200}"
"Why didn't hitler listen to anybody?

Usne apne kaano pe 'Jew' nahi rengne diye.","{'emotion': {'emotion': 'Angry', 'probabilities': {'Happy': 0.08572246141673154, 'Sad': 0.22859401577825642, 'Sarcasm': 0.21421872279772985, 'Fear': 0.09557748952157424, 'Bored': 0.03200936525183247, 'Angry': 0.26662258209293505, 'Excited': 0.07725536314094032}}, 'code': 200}"
Happy birthday Mayank ..,"{'emotion': {'emotion': 'Happy', 'probabilities': {'Happy': 0.3775574282687786, 'Sad': 0.1301136744383666, 'Sarcasm': 0.06839241736533913, 'Fear': 0.07131768622540557, 'Bored': 0.03213923550667834, 'Angry': 0.0559025775492053, 'Excited': 0.26457698064622626}}, 'code': 200}"
"Your whole life is a lie.
Lazy people: Exactly!!","{'emotion': {'emotion': 'Angry', 'probabilities': {'Happy': 0.049819126325571145, 'Sad': 0.049481556941062606, 'Sarcasm': 0.10589428461185546, 'Fear': 0.06231577945703036, 'Bored': 0.282136556435971, 'Angry': 0.38036003794543316, 'Excited': 0.06999265828307637}}, 'code': 200}"
Happy  birthday!!,"{'emotion': {'emotion': 'Excited', 'probabilities': {'Happy': 0.31372072621236796, 'Sad': 0.005680474132468106, 'Sarcasm': 0.07622250389816948, 'Fear': 0.05216822374545751, 'Bored': 0.002521421243134826, 'Angry': 0.014076521130060018, 'Excited': 0.5356101296383422}}, 'code': 200}"
Happy Birthday!!,"{'emotion': {'emotion': 'Excited', 'probabilities': {'Happy': 0.31372072621236796, 'Sad': 0.005680474132468106, 'Sarcasm': 0.07622250389816948, 'Fear': 0.05216822374545751, 'Bored': 0.002521421243134826, 'Angry': 0.014076521130060018, 'Excited': 0.5356101296383422}}, 'code': 200}"
Happy birthday ...,"{'emotion': {'emotion': 'Excited', 'probabilities': {'Happy': 0.3041113590034164, 'Sad': 0.12239303721765939, 'Sarcasm': 0.11457120354902967, 'Fear': 0.07207544366493826, 'Bored': 0.037004601238628816, 'Angry': 0.03480679211037905, 'Excited': 0.3150375632159485}}, 'code': 200}"
"Walter White(Breaking Bad) would have made the perfect GATE candidate,
because he is the one who knocks...","{'emotion': {'emotion': 'Angry', 'probabilities': {'Happy': 0.07446760592760754, 'Sad': 0.12228357628532674, 'Sarcasm': 0.19760135505489929, 'Fear': 0.20640187460342058, 'Bored': 0.0693363988907513, 'Angry': 0.23137072297290348, 'Excited': 0.09853846626509102}}, 'code': 200}"
"I had an argument with my mom..
I said: mah life
Mom said: Maa rulz..","{'emotion': {'emotion': 'Sarcasm', 'probabilities': {'Happy': 0.07360030173593596, 'Sad': 0.22920192724747634, 'Sarcasm': 0.2850935977299596, 'Fear': 0.15680005948777317, 'Bored': 0.017660903939593697, 'Angry': 0.12776485818783304, 'Excited': 0.10987835167142798}}, 'code': 200}"
Happy Birthday Pratik Bhaia..,"{'emotion': {'emotion': 'Happy', 'probabilities': {'Happy': 0.40167968684677574, 'Sad': 0.10691077643931254, 'Sarcasm': 0.0619955091587012, 'Fear': 0.0686967277248825, 'Bored': 0.024546460011743123, 'Angry': 0.0657392200265292, 'Excited': 0.27043161979205566}}, 'code': 200}"
"Batsman hits four.
Akash Chopra: à¤à¤µà¥ à¤à¤¾ à¤à¤¸ à¤¶à¥à¤ à¤¸à¥ à¤¯à¥ à¤¤à¤¾à¤¤à¥à¤ªà¤°à¥à¤¯ à¤¹à¥..","{'emotion': {'emotion': 'Fear', 'probabilities': {'Happy': 0.13959009272954323, 'Sad': 0.07314731540745999, 'Sarcasm': 0.11194040470804902, 'Fear': 0.2483463593171626, 'Bored': 0.03512588464722691, 'Angry': 0.1613052101105921, 'Excited': 0.23054473307996598}}, 'code': 200}"
